made,shot_x,shot_y,shooter_velocity_ft_sec,shooter_velocity_angle,dribbles_before,defender_distance,defender_angle,defender_velocity_ft_sec,defender_velocity_angle
1,2.117687098,1.824927376,9.063812777,-12.20673237,0,3.182070221,98.05774773,5.900782168,-86.07210193
1,-3.453906954,8.431564844,5.984307259,17.56061661,1,2.058316637,-0.325792671,0.995538289,-33.48330633
0,-2.723701097,13.02111461,3.67632003,135.1383154,0,3.883573743,2.722182713,5.052845186,-41.83235599
1,1.180944972,8.534057627,8.260460829,-100.0388893,1,3.250461066,-7.926514655,8.428376989,63.14941751
1,3.056267084,1.525870948,6.454267202,24.25047852,4,6.100405287,-14.69389861,12,-137.3811742
1,3.641230731,7.121556467,3.049515699,-28.89608432,1,1.962890495,-5.879738671,6.831703905,117.1440528
0,-5.581050541,0.158930149,12,-40.16903438,2,1.114987299,-128.15741,9.4481767,-11.10354694
0,0.662728414,12.62499867,9.569331619,-25.66783307,2,2.304110473,-78.97623311,10.37252178,43.16525778
1,-23.61383107,2.963570775,0.787259231,114.5309721,0,3.867082115,61.34818364,9.001852551,-1.981584161
1,4.317312604,12.14069867,8.597357361,2.831101566,9,5.323404962,152.8418232,10.3926227,-7.649511798
1,-2.054864568,7.560008019,3.965861066,16.53085094,1,1.825137745,-43.74718793,1.655242329,150.5394727
0,3.42789804,2.605719407,12,-50.08425728,1,1.592542734,-98.52193714,12,15.53310044
0,-1.70799926,1.013016124,4.101539261,-73.08351769,0,0,125.9352181,1.588654928,154.2697923
0,3.818501803,17.68039744,6.967949975,-48.2544932,7,0.107131452,-37.94769794,3.909959336,83.29954924
0,13.16283037,15.24256528,0.251316367,-144.2651392,9,6.241511438,-4.66614662,4.062451339,10.78445327
1,18.3155381,15.6196812,4.72468484,14.6305874,3,4.876530315,130.7810409,4.109713871,2.866153177
1,-1.981864955,1.738504685,6.664663279,24.6986423,0,2.523882993,-97.67779221,3.603353809,-20.77303629
0,17.49193145,15.01307926,3.010851447,-22.08625579,0,6.64225163,28.48690492,9.358315107,2.65529607
0,10.48258951,72.46922431,9.681326285,7.988086004,3,5.998492511,8.461978868,2.941454833,-82.40775212
1,-21.27312418,3.101077112,1.706441658,32.82847009,0,4.0606039,10.5481823,5.58459942,24.8651182
0,-0.993069036,17.432494,12,-18.14256584,1,3.279984757,-41.1797498,12,110.0644858
1,-22.81515416,1.190517447,1.151589631,-157.2842827,0,7.724304939,-8.791578853,12,-0.445483082
0,21.32168772,12.90762294,3.582100124,-3.464512046,0,5.683263055,14.70241022,8.071040624,-10.27083296
0,-6.506127831,0.803268435,12,-38.09725444,2,0.476420222,-59.86484331,12,72.70417432
1,21.73476513,10.13338164,1.655726046,-96.38615918,0,13.03464583,-4.530035469,12,22.2510552
0,-5.350806702,25.4339556,3.75370739,2.563000383,0,3.32914424,14.63668579,6.338971173,4.605440603
1,-10.63313922,29.61056457,7.040960682,4.608944873,3,4.445052241,2.21579175,3.968570165,-109.4400852
0,22.28992461,3.776570853,3.132672135,-126.3601904,0,1.06803863,65.25106849,2.943230851,115.3540642
0,3.686754986,2.458002489,6.906322302,32.10209842,0,0.095031422,119.0958726,6.807729858,-72.14048318
1,1.954803828,-0.174612276,0.046696635,37.54781305,0,1.145715014,-152.8884943,4.488551633,-157.6294974
1,-1.626529764,0.398016844,11.71559187,38.40156277,6,2.393287443,105.347131,7.073351819,-8.403188554
1,14.93501239,22.87728186,1.951119478,-24.60534153,1,7.383775332,6.914184499,2.311326752,101.9176198
0,0.24190562,3.678625159,2.031699355,64.76651731,0,2.024899753,18.7262403,6.486020234,-115.7733877
0,-11.30466435,21.79698197,2.361174036,96.63588965,0,4.224109974,1.619215449,2.369937154,-154.9100333
